Day,Month,Year,gglAddress,gglCountry,Type   ,Sub Type   ,TotAffected   ,DisasterID
0,8,2000,"Kabul, Afghanistan",Afghanistan,Epidemic ,Bacterial Infectious Diseases ,1604,EmDat:2000-0564
0,5,2000,"Kabul, Afghanistan",Afghanistan,Epidemic ,Viral Infectious Diseases ,11,EmDat:2000-0305
0,1,2000,"Kabul, Afghanistan",Afghanistan,Epidemic ,Viral Infectious Diseases ,,EmDat:2000-0054
29,5,1999,"Kabul, Afghanistan",Afghanistan,Epidemic ,Bacterial Infectious Diseases ,14402,EmDat:1999-0466
0,1,1999,"Kabul, Afghanistan",Afghanistan,Epidemic ,Viral Infectious Diseases ,6300,EmDat:1999-0465
0,7,1998,"Kabul, Afghanistan",Afghanistan,Epidemic ,Bacterial Infectious Diseases ,15776,EmDat:1998-0267
25,3,1998,"Kabul, Afghanistan",Afghanistan,Epidemic ,Viral Infectious Diseases ,7,EmDat:1998-0141
16,1,2012,"Kabul, Afghanistan",Afghanistan,Extreme temperature ,Extreme winter conditions ,68,EmDat:2012-0050
5,1,2008,"Kabul, Afghanistan",Afghanistan,Extreme temperature ,Extreme winter conditions ,170684,EmDat:2008-0006
9,4,2005,"Kabul, Afghanistan",Afghanistan,Extreme temperature ,Cold wave ,,EmDat:2005-0757
0,11,2001,"Kabul, Afghanistan",Afghanistan,Extreme temperature ,Cold wave ,100000,EmDat:2001-0668
31,1,2001,"Kabul, Afghanistan",Afghanistan,Extreme temperature ,Cold wave ,100000,EmDat:2001-0027
3,1,1991,"Kabul, Afghanistan",Afghanistan,Extreme temperature ,Cold wave ,200,EmDat:1991-0009
26,12,1990,"Kabul, Afghanistan",Afghanistan,Extreme temperature ,Cold wave ,,EmDat:1990-0248
22,4,2012,"Kabul, Afghanistan",Afghanistan,Flood ,General Flood ,5700,EmDat:2012-0573
18,6,2012,"Kabul, Afghanistan",Afghanistan,Flood ,General Flood ,4300,EmDat:2012-0226
12,5,2012,"Kabul, Afghanistan",Afghanistan,Flood ,General Flood ,,EmDat:2012-0183
20,5,2012,"Kabul, Afghanistan",Afghanistan,Flood ,Flash Flood ,13151,EmDat:2012-0154
18,5,2012,"Kabul, Afghanistan",Afghanistan,Flood ,General Flood ,27769,EmDat:2012-0143
10,4,2012,"Kabul, Afghanistan",Afghanistan,Flood ,Flash Flood ,230,EmDat:2012-0102
1,5,2011,"Kabul, Afghanistan",Afghanistan,Flood ,General Flood ,9745,EmDat:2011-0632
10,2,2011,"Kabul, Afghanistan",Afghanistan,Flood ,General Flood ,3065,EmDat:2011-0042
27,7,2010,"Kabul, Afghanistan",Afghanistan,Flood ,General Flood ,5000,EmDat:2010-0367
5,5,2010,"Kabul, Afghanistan",Afghanistan,Flood ,General Flood ,40000,EmDat:2010-0176
3,9,2009,"Kabul, Afghanistan",Afghanistan,Flood ,General Flood ,,EmDat:2009-0385
25,3,2009,"Kabul, Afghanistan",Afghanistan,Flood ,General Flood ,60016,EmDat:2009-0168
4,4,2009,"Kabul, Afghanistan",Afghanistan,Flood ,Flash Flood ,2500,EmDat:2009-0139
0,8,2008,"Kabul, Afghanistan",Afghanistan,Flood ,Flash Flood ,1180,EmDat:2008-0488
30,4,2007,"Kabul, Afghanistan",Afghanistan,Flood ,Flash flood ,160,EmDat:2007-0672
15,7,2007,"Kabul, Afghanistan",Afghanistan,Flood ,Flash flood ,2500,EmDat:2007-0316
24,6,2007,"Kabul, Afghanistan",Afghanistan,Flood ,General flood ,4000,EmDat:2007-0248
23,4,2007,"Kabul, Afghanistan",Afghanistan,Flood ,Flash flood ,,EmDat:2007-0192
5,5,2007,"Kabul, Afghanistan",Afghanistan,Flood ,General flood ,645,EmDat:2007-0185
14,5,2007,"Kabul, Afghanistan",Afghanistan,Flood ,Flash flood ,2950,EmDat:2007-0178
18,3,2007,"Kabul, Afghanistan",Afghanistan,Flood ,General flood ,20000,EmDat:2007-0105
16,11,2006,"Kabul, Afghanistan",Afghanistan,Flood ,Flash flood ,17580,EmDat:2006-0596
30,7,2006,"Kabul, Afghanistan",Afghanistan,Flood ,Flash flood ,20,EmDat:2006-0424
30,7,2006,"Kabul, Afghanistan",Afghanistan,Flood ,General flood ,8000,EmDat:2006-0416
9,7,2006,"Kabul, Afghanistan",Afghanistan,Flood ,General flood ,,EmDat:2006-0365
0,5,2006,"Kabul, Afghanistan",Afghanistan,Flood ,General flood ,1735,EmDat:2006-0291
19,5,2006,"Kabul, Afghanistan",Afghanistan,Flood ,General flood ,615,EmDat:2006-0271
28,4,2006,"Kabul, Afghanistan",Afghanistan,Flood ,Flash flood ,5025,EmDat:2006-0221
27,12,2005,"Kabul, Afghanistan",Afghanistan,Flood ,General flood ,125,EmDat:2005-0736
28,12,2005,"Kabul, Afghanistan",Afghanistan,Flood ,General flood ,150,EmDat:2005-0725
11,9,2005,"Kabul, Afghanistan",Afghanistan,Flood ,General flood ,,EmDat:2005-0521
11,9,2005,"Kabul, Afghanistan",Afghanistan,Flood ,General flood ,,EmDat:2005-0511
21,6,2005,"Kabul, Afghanistan",Afghanistan,Flood ,General flood ,,EmDat:2005-0360
16,6,2005,"Kabul, Afghanistan",Afghanistan,Flood ,General flood ,5040,EmDat:2005-0322
4,5,2005,"Kabul, Afghanistan",Afghanistan,Flood ,General flood ,500,EmDat:2005-0281
5,3,2005,"Kabul, Afghanistan",Afghanistan,Flood ,General flood ,11003,EmDat:2005-0169
5,3,2005,"Kabul, Afghanistan",Afghanistan,Flood ,General flood ,1500,EmDat:2005-0101
13,7,2004,"Kabul, Afghanistan",Afghanistan,Flood ,General flood ,2000,EmDat:2004-0349
15,1,2004,"Kabul, Afghanistan",Afghanistan,Flood ,General flood ,2500,EmDat:2004-0022
9,7,2003,"Kabul, Afghanistan",Afghanistan,Flood ,General flood ,,EmDat:2003-0778
29,7,2003,"Kabul, Afghanistan",Afghanistan,Flood ,General flood ,3,EmDat:2003-0392
12,7,2003,"Kabul, Afghanistan",Afghanistan,Flood ,Flash flood ,250,EmDat:2003-0337
16,6,2003,"Kabul, Afghanistan",Afghanistan,Flood ,General flood ,100,EmDat:2003-0302
26,5,2003,"Kabul, Afghanistan",Afghanistan,Flood ,Flash flood ,400,EmDat:2003-0256
18,4,2003,"Kabul, Afghanistan",Afghanistan,Flood ,Flash flood ,1000,EmDat:2003-0179
17,3,2003,"Kabul, Afghanistan",Afghanistan,Flood ,General flood ,2000,EmDat:2003-0143
0,1,2003,"Kabul, Afghanistan",Afghanistan,Flood ,Flash flood ,,EmDat:2003-0104
28,8,2002,"Kabul, Afghanistan",Afghanistan,Flood ,  ,,EmDat:2002-0613
23,4,2002,"Kabul, Afghanistan",Afghanistan,Flood ,General flood ,1200,EmDat:2002-0242
4,4,2002,"Kabul, Afghanistan",Afghanistan,Flood ,General flood ,4225,EmDat:2002-0196
22,3,2002,"Kabul, Afghanistan",Afghanistan,Flood ,  ,120,EmDat:2002-0185
0,2,1999,"Kabul, Afghanistan",Afghanistan,Flood ,  ,500,EmDat:1999-0575
20,2,1998,"Kabul, Afghanistan",Afghanistan,Flood ,Flash flood ,300,EmDat:1998-0054
7,9,1997,"Kabul, Afghanistan",Afghanistan,Flood ,General flood ,750,EmDat:1997-0356
12,5,1997,"Kabul, Afghanistan",Afghanistan,Flood ,General flood ,20000,EmDat:1997-0097
9,4,1996,"Kabul, Afghanistan",Afghanistan,Flood ,General flood ,9855,EmDat:1996-0072
5,7,1995,"Kabul, Afghanistan",Afghanistan,Flood ,  ,,EmDat:1995-0137
20,4,1995,"Kabul, Afghanistan",Afghanistan,Flood ,General flood ,7500,EmDat:1995-0066
8,5,1992,"Kabul, Afghanistan",Afghanistan,Flood ,  ,,EmDat:1992-0197
31,9,1992,"Kabul, Afghanistan",Afghanistan,Flood ,Flash flood ,4000,EmDat:1992-0063
13,4,1991,"Kabul, Afghanistan",Afghanistan,Flood ,General flood ,,EmDat:1991-0495
28,5,1991,"Kabul, Afghanistan",Afghanistan,Flood ,General flood ,31000,EmDat:1991-0130
6,2,1991,"Kabul, Afghanistan",Afghanistan,Flood ,General flood ,108400,EmDat:1991-0032
0,6,1988,"Kabul, Afghanistan",Afghanistan,Flood ,  ,161000,EmDat:1988-0235
0,3,1980,"Kabul, Afghanistan",Afghanistan,Flood ,  ,30000,EmDat:1980-0033
0,7,1978,"Kabul, Afghanistan",Afghanistan,Flood ,  ,271684,EmDat:1978-0083
0,4,1976,"Kabul, Afghanistan",Afghanistan,Flood ,  ,80000,EmDat:1976-0031
0,1,1972,"Kabul, Afghanistan",Afghanistan,Flood ,  ,250000,EmDat:1972-0002
0,4,1963,"Kabul, Afghanistan",Afghanistan,Flood ,  ,,EmDat:1963-0065
0,7,1956,"Kabul, Afghanistan",Afghanistan,Flood ,  ,,EmDat:1956-0039
26,7,2004,"Kabul, Afghanistan",Afghanistan,Industrial Accident ,Collapse ,18,EmDat:2004-0362
2,5,2004,"Kabul, Afghanistan",Afghanistan,Industrial Accident ,Explosion ,25,EmDat:2004-0193
19,3,1997,"Kabul, Afghanistan",Afghanistan,Industrial Accident ,Explosion ,80,EmDat:1997-0365
16,2,1996,"Kabul, Afghanistan",Afghanistan,Industrial Accident ,Explosion ,125,EmDat:1996-0039
12,6,1964,"Kabul, Afghanistan",Afghanistan,Industrial Accident ,Explosion ,400,EmDat:1964-0033
0,9,1993,"Kabul, Afghanistan",Afghanistan,Insect infestation ,Locust ,,EmDat:1993-0494
0,3,1993,"Kabul, Afghanistan",Afghanistan,Mass movement dry ,Avalanche ,,EmDat:1993-0419
12,3,2012,"Kabul, Afghanistan",Afghanistan,Mass Movement Wet ,Avalanche ,,EmDat:2012-0563
5,3,2012,"Kabul, Afghanistan",Afghanistan,Mass Movement Wet ,Avalanche ,6,EmDat:2012-0067
18,1,2012,"Kabul, Afghanistan",Afghanistan,Mass Movement Wet ,Avalanche ,40,EmDat:2012-0013
2,3,2010,"Kabul, Afghanistan",Afghanistan,Mass Movement Wet ,Avalanche ,,EmDat:2010-0129
6,2,2010,"Kabul, Afghanistan",Afghanistan,Mass Movement Wet ,Avalanche ,130,EmDat:2010-0048
18,1,2009,"Kabul, Afghanistan",Afghanistan,Mass Movement Wet ,Avalanche ,32,EmDat:2009-0033
31,1,2006,"Kabul, Afghanistan",Afghanistan,Mass movement wet ,Avalanche ,,EmDat:2006-0045
13,1,2006,"Kabul, Afghanistan",Afghanistan,Mass movement wet ,Landslide ,300000,EmDat:2006-0021
6,2,2002,"Kabul, Afghanistan",Afghanistan,Mass movement wet ,Avalanche ,400,EmDat:2002-0088
27,3,1998,"Kabul, Afghanistan",Afghanistan,Mass movement wet ,Avalanche ,,EmDat:1998-0437
27,3,1997,"Kabul, Afghanistan",Afghanistan,Mass movement wet ,Avalanche ,,EmDat:1997-0322
27,3,1995,"Kabul, Afghanistan",Afghanistan,Mass movement wet ,Landslide ,174,EmDat:1995-0050
15,6,1993,"Kabul, Afghanistan",Afghanistan,Mass movement wet ,Landslide ,1000,EmDat:1993-0169
8,4,1987,"Kabul, Afghanistan",Afghanistan,Mass movement wet ,Avalanche ,,EmDat:1987-0385
28,7,1971,"Kabul, Afghanistan",Afghanistan,Mass movement wet ,Landslide ,,EmDat:1971-0044
27,10,2010,"Kabul, Afghanistan",Afghanistan,Miscellaneous accident ,Collapse ,15,EmDat:2010-0564
2,5,2005,"Kabul, Afghanistan",Afghanistan,Miscellaneous accident ,Explosion ,70,EmDat:2005-0234
29,3,2005,"Kabul, Afghanistan",Afghanistan,Miscellaneous accident ,Collapse ,1000,EmDat:2005-0162
20,3,2004,"Kabul, Afghanistan",Afghanistan,Miscellaneous accident ,Other ,80,EmDat:2004-0709
4,8,2003,"Kabul, Afghanistan",Afghanistan,Miscellaneous accident ,Explosion ,21,EmDat:2003-0375
9,8,2002,"Kabul, Afghanistan",Afghanistan,Miscellaneous accident ,Explosion ,90,EmDat:2002-0869
20,7,2002,"Kabul, Afghanistan",Afghanistan,Miscellaneous accident ,Explosion ,6,EmDat:2002-0449
29,9,2000,"Kabul, Afghanistan",Afghanistan,Miscellaneous accident ,Collapse ,40,EmDat:2000-0630
28,2,1991,"Kabul, Afghanistan",Afghanistan,Miscellaneous accident ,Collapse ,,EmDat:1991-0077
10,2,2011,"Kabul, Afghanistan",Afghanistan,Storm ,Local storm ,5,EmDat:2011-0642
0,2,2006,"Kabul, Afghanistan",Afghanistan,Storm ,Local storm ,,EmDat:2006-0068
1,1,2006,"Kabul, Afghanistan",Afghanistan,Storm ,  ,,EmDat:2006-0029
0,1,2005,"Kabul, Afghanistan",Afghanistan,Storm ,  ,22656,EmDat:2005-0044
14,5,1993,"Kabul, Afghanistan",Afghanistan,Storm ,  ,,EmDat:1993-0159
14,9,2012,"Kabul, Afghanistan",Afghanistan,Transport accident ,Road ,,EmDat:2012-0361
20,8,2011,"Kabul, Afghanistan",Afghanistan,Transport accident ,Road ,24,EmDat:2011-0319
14,5,2011,"Kabul, Afghanistan",Afghanistan,Transport accident ,Road ,,EmDat:2011-0167
28,4,2011,"Kabul, Afghanistan",Afghanistan,Transport accident ,Road ,33,EmDat:2011-0147
26,7,2010,"Kabul, Afghanistan",Afghanistan,Transport accident ,Road ,22,EmDat:2010-0302
17,5,2010,"Kabul, Afghanistan",Afghanistan,Transport accident ,Air ,,EmDat:2010-0190
17,3,2010,"Kabul, Afghanistan",Afghanistan,Transport accident ,Road ,,EmDat:2010-0108
26,10,2009,"Kabul, Afghanistan",Afghanistan,Transport accident ,Air ,26,EmDat:2009-0490
19,7,2009,"Kabul, Afghanistan",Afghanistan,Transport accident ,Air ,,EmDat:2009-0270
15,1,2009,"Kabul, Afghanistan",Afghanistan,Transport accident ,Air ,,EmDat:2009-0031
28,5,2008,"Kabul, Afghanistan",Afghanistan,Transport accident ,Road ,40,EmDat:2008-0213
24,9,2007,"Kabul, Afghanistan",Afghanistan,Transport Accident ,Road ,40,EmDat:2007-0478
26,7,2006,"Kabul, Afghanistan",Afghanistan,Transport Accident ,Air ,,EmDat:2006-0408
5,5,2006,"Kabul, Afghanistan",Afghanistan,Transport Accident ,Air ,,EmDat:2006-0236
20,8,2005,"Kabul, Afghanistan",Afghanistan,Transport Accident ,Road ,28,EmDat:2005-0446
10,7,2005,"Kabul, Afghanistan",Afghanistan,Transport Accident ,Road ,,EmDat:2005-0352
7,4,2005,"Kabul, Afghanistan",Afghanistan,Transport Accident ,Air ,,EmDat:2005-0185
3,2,2005,"Kabul, Afghanistan",Afghanistan,Transport Accident ,Air ,,EmDat:2005-0060
6,8,2002,"Kabul, Afghanistan",Afghanistan,Transport Accident ,Road ,64,EmDat:2002-0867
8,6,2002,"Kabul, Afghanistan",Afghanistan,Transport Accident ,Road ,2,EmDat:2002-0345
8,12,2001,"Kabul, Afghanistan",Afghanistan,Transport Accident ,Air ,,EmDat:2001-0666
20,3,1998,"Kabul, Afghanistan",Afghanistan,Transport Accident ,Air ,,EmDat:1998-0072
22,8,1997,"Kabul, Afghanistan",Afghanistan,Transport Accident ,Air ,,EmDat:1997-0187
27,4,1993,"Kabul, Afghanistan",Afghanistan,Transport Accident ,Air ,,EmDat:1993-0147
26,7,1991,"Kabul, Afghanistan",Afghanistan,Transport Accident ,Air ,,EmDat:1991-0608
10,8,1990,"Kabul, Afghanistan",Afghanistan,Transport Accident ,Air ,,EmDat:1990-0479
21,2,1990,"Kabul, Afghanistan",Afghanistan,Transport Accident ,Air ,,EmDat:1990-0465
27,9,1989,"Kabul, Afghanistan",Afghanistan,Transport Accident ,Air ,,EmDat:1989-0480
0,7,1989,"Kabul, Afghanistan",Afghanistan,Transport Accident ,Air ,,EmDat:1989-0311
12,6,1999,"Kabul, Afghanistan",Afghanistan,Wildfire ,Forest fire ,,EmDat:1999-0195
0,0,1989,"Tirana, Albania",Albania,Drought ,Drought ,3200000,EmDat:1989-9335
7,9,2009,"Tirana, Albania",Albania,Earthquake (seismic activity) ,Earthquake (ground shaking) ,150,EmDat:2009-0366
30,9,1998,"Tirana, Albania",Albania,Earthquake (seismic activity) ,Earthquake (ground shaking) ,2100,EmDat:1998-0584
9,1,1988,"Tirana, Albania",Albania,Earthquake (seismic activity) ,Earthquake (ground shaking) ,690,EmDat:1988-0702
16,11,1982,"Tirana, Albania",Albania,Earthquake (seismic activity) ,Earthquake (ground shaking) ,5005,EmDat:1982-0161
15,4,1979,"Tirana, Albania",Albania,Earthquake (seismic activity) ,Earthquake (ground shaking) ,350,EmDat:1979-0039
30,11,1967,"Tirana, Albania",Albania,Earthquake (seismic activity) ,Earthquake (ground shaking) ,134,EmDat:1967-0075
0,7,2002,"Tirana, Albania",Albania,Epidemic ,  ,226,EmDat:2002-0417
0,4,1996,"Tirana, Albania",Albania,Epidemic ,Viral Infectious Diseases ,66,EmDat:1996-0229
0,1,2012,"Tirana, Albania",Albania,Extreme temperature ,Extreme winter conditions ,230000,EmDat:2012-0012
15,7,2007,"Tirana, Albania",Albania,Extreme temperature ,Heat wave ,150,EmDat:2007-0235
1,7,2004,"Tirana, Albania",Albania,Extreme temperature ,Heat wave ,,EmDat:2004-0333
6,3,1985,"Tirana, Albania",Albania,Extreme temperature ,Extreme winter conditions ,7085,EmDat:1985-0244
3,12,2010,"Tirana, Albania",Albania,Flood ,General Flood ,14000,EmDat:2010-0619
27,12,2009,"Tirana, Albania",Albania,Flood ,General Flood ,6600,EmDat:2009-0631
30,11,2005,"Tirana, Albania",Albania,Flood ,General flood ,500,EmDat:2005-0696
4,12,2004,"Tirana, Albania",Albania,Flood ,General flood ,2500,EmDat:2004-0633
21,9,2002,"Tirana, Albania",Albania,Flood ,General flood ,66884,EmDat:2002-0607
20,12,1997,"Tirana, Albania",Albania,Flood ,Storm surge/coastal flood ,8000,EmDat:1997-0302
27,12,1995,"Tirana, Albania",Albania,Flood ,General flood ,2000,EmDat:1995-0300
20,9,1995,"Tirana, Albania",Albania,Flood ,  ,1500,EmDat:1995-0234
17,11,1992,"Tirana, Albania",Albania,Flood ,Flash flood ,35000,EmDat:1992-0160
7,12,1991,"Tirana, Albania",Albania,Industrial Accident ,Fire ,,EmDat:1991-0395
11,1,1985,"Tirana, Albania",Albania,Mass Movement Wet ,Landslide ,26,EmDat:1985-0241
15,3,2008,"Tirana, Albania",Albania,Miscellaneous accident ,Explosion ,10300,EmDat:2008-0113
23,1,2005,"Tirana, Albania",Albania,Storm ,Local storm ,400000,EmDat:2005-0045
8,1,2002,"Tirana, Albania",Albania,Storm ,Local storm ,125000,EmDat:2002-0010
21,5,2012,"Tirana, Albania",Albania,Transport accident ,Road ,20,EmDat:2012-0150
17,7,2010,"Tirana, Albania",Albania,Transport accident ,Road ,12,EmDat:2010-0309
5,3,2008,"Tirana, Albania",Albania,Transport accident ,Water ,,EmDat:2008-0102
14,10,2004,"Tirana, Albania",Albania,Transport Accident ,Road ,25,EmDat:2004-0516
0,7,2007,"Tirana, Albania",Albania,Wildfire ,Forest fire ,75,EmDat:2007-0365
0,4,2005,"Algiers, Algeria",Algeria,Drought ,Drought ,,EmDat:2005-9345
0,0,1981,"Algiers, Algeria",Algeria,Drought ,Drought ,,EmDat:1981-9118
14,5,2010,"Algiers, Algeria",Algeria,Earthquake (seismic activity) ,Earthquake (ground shaking) ,43,EmDat:2010-0671
20,3,2006,"Algiers, Algeria",Algeria,Earthquake (seismic activity) ,Earthquake (ground shaking) ,319,EmDat:2006-0149
1,12,2004,"Algiers, Algeria",Algeria,Earthquake (seismic activity) ,Earthquake (ground shaking) ,15,EmDat:2004-0620
10,1,2004,"Algiers, Algeria",Algeria,Earthquake (seismic activity) ,Earthquake (ground shaking) ,300,EmDat:2004-0011
27,5,2003,"Algiers, Algeria",Algeria,Earthquake (seismic activity) ,Earthquake (ground shaking) ,200,EmDat:2003-0255
21,5,2003,"Algiers, Algeria",Algeria,Earthquake (seismic activity) ,Earthquake (ground shaking) ,210261,EmDat:2003-0245
22,12,1999,"Algiers, Algeria",Algeria,Earthquake (seismic activity) ,Earthquake (ground shaking) ,15175,EmDat:1999-0561
18,8,1994,"Algiers, Algeria",Algeria,Earthquake (seismic activity) ,Earthquake (ground shaking) ,12789,EmDat:1994-0196
19,1,1992,"Algiers, Algeria",Algeria,Earthquake (seismic activity) ,Earthquake (ground shaking) ,2250,EmDat:1992-0012
29,10,1989,"Algiers, Algeria",Algeria,Earthquake (seismic activity) ,Earthquake (ground shaking) ,12184,EmDat:1989-0139
31,10,1988,"Algiers, Algeria",Algeria,Earthquake (seismic activity) ,Earthquake (ground shaking) ,257,EmDat:1988-0042
26,1,1987,"Algiers, Algeria",Algeria,Earthquake (seismic activity) ,Earthquake (ground shaking) ,3152,EmDat:1987-0306
27,10,1985,"Algiers, Algeria",Algeria,Earthquake (seismic activity) ,Earthquake (ground shaking) ,,EmDat:1985-0386
7,12,1980,"Algiers, Algeria",Algeria,Earthquake (seismic activity) ,Earthquake (ground shaking) ,90,EmDat:1980-0111
10,10,1980,"Algiers, Algeria",Algeria,Earthquake (seismic activity) ,Earthquake (ground shaking) ,930317,EmDat:1980-0096
1,1,1965,"Algiers, Algeria",Algeria,Earthquake (seismic activity) ,Earthquake (ground shaking) ,49350,EmDat:1965-0002
21,2,1960,"Algiers, Algeria",Algeria,Earthquake (seismic activity) ,Earthquake (ground shaking) ,1250,EmDat:1960-0033
9,9,1954,"Algiers, Algeria",Algeria,Earthquake (seismic activity) ,Earthquake (ground shaking) ,129250,EmDat:1954-0017
12,2,1946,"Algiers, Algeria",Algeria,Earthquake (seismic activity) ,Earthquake (ground shaking) ,,EmDat:1946-0001
