depotCity,depotCountry,depotGglCountryAscii,depotGglAddressAscii,depotGglLat,depotGglLong,disasterCity,disasterCountry,disasterGglCountryAscii,disasterGglAddressAscii,disasterGglLat,disasterGglLong,drivingTime_hrs,distance_km
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Charlotte Amalie,US Virgin Islands,U.S. Virgin Islands,"Charlotte Amalie, St. Thomas 00802, USVI",18.3419004,-64.9307007,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Majuro,Marshall Islands,Marshall Islands,"Majuro Atoll, RMI",7.1164214,171.1857736,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Mata-Utu,Wallis and Futuna,Wallis and Futuna,"Mata'utu, Wallis and Futuna",-13.2825091,-176.1764475,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Dili,Timor-Leste,Timor-Leste,"Dili, Timor-Leste",-8.5568557,125.5603143,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Tripoli,Libya,Libya,"Tripoli, Libya",32.8084124,13.1509672,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Damascus,Syria,Syria,"Damascus, Syria",33.513,36.292,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Avarua,Cook Islands,Cook Islands,"Avarua District, Cook Islands",-21.2129007,-159.7823059,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Bandar Seri Begawan,Brunei,Brunei,"Bandar Seri Begawan, Brunei",4.890278,114.942222,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Kinshasa,Democratic Republic of the Congo,Democratic Republic of the Congo,"Kinshasa, Democratic Republic of the Congo",-4.331666999999999,15.313889,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Tehran,Iran,Iran,"Tehran, Iran",35.696111,51.423056,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Skopje,Macedonia,Macedonia (FYROM),"Skopje, Macedonia (FYROM)",41.9973462,21.4279956,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Seoul,South Korea,South Korea,"Seoul, South Korea",37.566535,126.9779692,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Sarajevo,Bosnia and Herzegovina,Bosnia and Herzegovina,"Sarajevo, Bosnia and Herzegovina",43.8562586,18.4130763,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Saipan,Northern Mariana Islands,Northern Mariana Islands,"Saipan, 96950, CNMI",15.177801,145.750967,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Jerusalem,Palestine,Israel,"Jerusalem, Israel",31.768319,35.21371,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Las Palmas,Canary Islands,Spain,"Las Palmas, Spain",28.1235459,-15.4362574,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Banjul,Gambia,The Gambia,"Banjul, The Gambia",13.453056,-16.5775,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Sanaa,Yemen,Yemen,"Sana'a, Yemen",15.3694451,44.1910066,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Hong Kong,,Hong Kong,Hong Kong,22.396428,114.109497,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Bissau,Guinea-Bissau,Guinea-Bissau,"Bissau, Guinea-Bissau",11.8816553,-15.6177942,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Praia,Cape Verde,Cape Verde,"Praia, Cape Verde",14.95,-23.516667,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Tokelau,,Tokelau,Tokelau,-9.200199999999999,-171.8484,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Saint-Denis,Reunion,Reunion,"Saint-Denis, Reunion",-20.882057,55.450675,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Honiara,Solomon Islands,Solomon Islands,"Honiara, Solomon Islands",-9.4456381,159.9728999,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Palikir,Federated States of Micronesia,Micronesia,"Palikir, Pohnpei, Micronesia",6.917222,158.158889,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Willemstad,Netherlands Antilles,Curacao,"Willemstad, Curacao",12.1224221,-68.8824233,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,London,United Kingdom,United Kingdom,"London, UK",51.5073509,-0.1277583,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Vientiane,Laos,Laos,"Vientiane, Laos",17.966667,102.6,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Cockburn Town,Turks and Caicos Islands,Turks and Caicos Islands,"Cockburn Town TKCA 1ZZ, Turks and Caicos Islands",21.459,-71.139,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Basseterre,Saint Kitts and Nevis,Saint Kitts and Nevis,"Basseterre, Saint Kitts and Nevis",17.3026058,-62.7176924,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Prague,Czech Republic,Czech Republic,"Prague, Czech Republic",50.0755381,14.4378005,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Fort-de-France,Martinique,Martinique,"Fort-de-France Bay, Martinique",14.6160647,-61.0587804,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Beijing,China,China,"Beijing, China",39.90403,116.407526,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Jamestown,Saint Helena,Saint Helena,"Jamestown STHL 1ZZ, Saint Helena",-15.92213,-5.704682,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Mamoudzou,Mayotte,Mayotte,"Mamoudzou, Mayotte",-12.7806,45.22779999999999,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Dodoma,Tanzania,Tanzania,"Dodoma, Tanzania",-6.173056,35.741944,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Castries,Saint Lucia,Saint Lucia,"Castries City, Saint Lucia",14.0101094,-60.98746869999999,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Sanaa,Yemen,Yemen,"Sana'a, Yemen",15.3694451,44.1910066,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Juba,South Sudan,South Sudan,"Juba, South Sudan",4.85,31.6,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Basse-Terre,Guadeloupe,Guadeloupe,"Basse Terre, Guadeloupe",16,-61.733333,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Moscow,Russia,Russia,"Moscow, Russia",55.755826,37.6173,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Belgrade,Serbia,Serbia,"Belgrade, Serbia",44.816667,20.466667,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Berlin,Germany,Germany,"Berlin, Germany",52.52000659999999,13.404954,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Brazzaville,Republic of the Congo,Congo,"Brazzaville, Congo",-4.267778,15.291944,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Belgrade,Serbia,Serbia,"Belgrade, Serbia",44.816667,20.466667,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Kabul,Afghanistan,Afghanistan,"Kabul, Afghanistan",34.533333,69.166667,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Tirana,Albania,Albania,"Tirana, Albania",41.3275459,19.8186982,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Algiers,Algeria,Algeria,"Algiers, Algeria",36.752887,3.042048,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Pago Pago,American Samoa,American Samoa,"Pago Pago, Eastern, American Samoa",-14.279444,-170.700556,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Luanda,Angola,Angola,"Luanda, Angola",-8.838333,13.234444,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,The Valley,Anguilla,Anguilla,"The Valley AI-2640, Anguilla",18.2148129,-63.0574406,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,St. John's,Antigua and Barbuda,Antigua and Barbuda,"Saint John's, Antigua and Barbuda",17.116667,-61.84999999999999,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Buenos Aires,Argentina,Argentina,"Buenos Aires, Argentina",-34.6037232,-58.3815931,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Yerevan,Armenia,Armenia,"Yerevan, Armenia",40.183333,44.516667,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Canberra,Australia,Australia,"Canberra ACT 2601, Australia",-35.2819998,149.1286843,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Vienna,Austria,Austria,"Vienna, Austria",48.2081743,16.3738189,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Baku,Azerbaijan,Azerbaijan,"Baku, Azerbaijan",40.4349504,49.8676232,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Nassau,Bahamas,The Bahamas,"Nassau, The Bahamas",25.06,-77.345,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Manama,Bahrain,Bahrain,"Manama, Bahrain",26.216667,50.583333,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Dhaka,Bangladesh,Bangladesh,"Dhaka, Bangladesh",23.810332,90.4125181,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Bridgetown,Barbados,Barbados,"Bridgetown, Barbados",13.1132219,-59.59880889999999,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Minsk,Belarus,Belarus,"Minsk, Belarus",53.9,27.566667,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Brussels,Belgium,Belgium,"Brussels, Belgium",50.8503396,4.3517103,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Belmopan,Belize,Belize,"Belmopan, Belize",17.251389,-88.76694400000001,57,5657
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Porto-Novo,Benin,Benin,"Porto Novo, Benin",6.497222,2.605,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Hamilton,Bermuda,Bermuda,"Hamilton, Bermuda",32.294816,-64.781375,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Thimphu,Bhutan,Bhutan,"Thimphu, Bhutan",27.4727924,89.6392863,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Sucre,Bolivia,Bolivia,"Sucre, Bolivia",-19.0195852,-65.2619615,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Gaborone,Botswana,Botswana,"Gaborone, Botswana",-24.658056,25.912222,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Brasilia,Brazil,Brazil,"Brasilia - Federal District, Brazil",-15.7941454,-47.8825479,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Sofia,Bulgaria,Bulgaria,"Sofia, Bulgaria",42.6977082,23.3218675,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Ouagadougou,Burkina Faso,Burkina Faso,"Ouagadougou, Burkina Faso",12.35,-1.516667,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Bujumbura,Burundi,Burundi,"Bujumbura, Burundi",-3.383333,29.366667,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Phnom Penh,Cambodia,Cambodia,"Phnom Penh, Cambodia",11.5448729,104.8921668,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Yaounde,Cameroon,Cameroon,"Yaounde, Cameroon",3.866666999999999,11.516667,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,0,0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,George Town,Cayman Islands,Cayman Islands,"George Town, Cayman Islands",19.2869323,-81.3674389,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,N'Djamena,Chad,Chad,"N'Djamena, Chad",12.113056,15.049167,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Santiago,Chile,Chile,"Santiago, Santiago Metropolitan Region, Chile",-33.4691199,-70.641997,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Bogota,Colombia,Colombia,"Bogota, Bogota, Colombia",4.598056000000001,-74.075833,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Moroni,Comoros,Comoros,"Moroni, Comoros",-11.7172157,43.2473146,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,San Jose,Costa Rica,Costa Rica,"San Jose, Costa Rica",9.9280694,-84.0907246,71,6634
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Zagreb,Croatia,Croatia,"Zagreb, Croatia",45.8150108,15.981919,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Havana,Cuba,Cuba,"Havana, Cuba",23.0540698,-82.34518899999999,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Nicosia,Cyprus,Nicosia,Nicosia,35.166667,33.366667,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Copenhagen,Denmark,Denmark,"Copenhagen, Denmark",55.6760968,12.5683371,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Djibouti,Djibouti,Djibouti,Djibouti,11.588333,43.145,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Roseau,Dominica,Dominica,"Roseau, Dominica",15.301389,-61.388333,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Quito,Ecuador,Ecuador,"Quito, Ecuador",-0.1806532,-78.4678382,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Cairo,Egypt,Egypt,"Cairo, Cairo Governorate, Egypt",30.0444196,31.2357116,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,San Salvador,El Salvador,El Salvador,"San Salvador, El Salvador",13.6929403,-89.2181911,58,5684
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Malabo,Equatorial Guinea,Equatorial Guinea,"Malabo, Equatorial Guinea",3.75,8.783332999999999,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Asmara,Eritrea,Eritrea,"Asmara, Eritrea",15.333333,38.933333,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Tallinn,Estonia,Estonia,"Tallinn, Estonia",59.43696079999999,24.7535746,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Addis Ababa,Ethiopia,Ethiopia,"Addis Ababa, Ethiopia",8.9806034,38.7577605,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Suva,Fiji,Fiji,"Suva, Fiji",-18.1416,178.4419,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Helsinki,Finland,Finland,"Helsinki, Finland",60.17332440000001,24.9410248,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Paris,France,France,"Paris, France",48.856614,2.3522219,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Cayenne,French Guiana,French Guiana,"Cayenne, French Guiana",4.9227,-52.32689999999999,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Papeete,French Polynesia,French Polynesia,"Pape'ete, French Polynesia",-17.535,-149.5696,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Libreville,Gabon,Gabon,"Libreville, Gabon",0.3901,9.4544,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Tbilisi,Georgia,Georgia,"Tbilisi, Georgia",41.716667,44.783333,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Berlin,Germany,Germany,"Berlin, Germany",52.52000659999999,13.404954,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Accra,Ghana,Ghana,"Accra, Ghana",5.55,-0.2,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Athens,Greece,Greece,"Athens, Greece",37.983917,23.7293599,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,St. George's,Grenada,Grenada,"Saint Georges, Grenada",12.0560975,-61.7487996,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Hagatna,Guam,Guam,"Hagatna, Guam",13.4708908,144.7512782,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Guatemala City,Guatemala,Guatemala,"Guatemala City, Guatemala",14.613333,-90.53527799999999,56,5513
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Conakry,Guinea,Guinea,"Conakry, Guinea",9.509167,-13.712222,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Georgetown,Guyana,Guyana,"Georgetown, Guyana",6.8,-58.166667,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Port-au-Prince,Haiti,Haiti,"Port-au-Prince, Haiti",18.533333,-72.333333,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Tegucigalpa,Honduras,Honduras,"Tegucigalpa, Honduras",14.0833,-87.2167,63,5956
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Budapest,Hungary,Hungary,"Budapest, Hungary",47.497912,19.040235,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Reykjavik,Iceland,Iceland,"Reykjavik, Iceland",64.133333,-21.933333,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,New Delhi,India,India,"New Delhi, Delhi, India",28.635308,77.22496,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Jakarta,Indonesia,Indonesia,"Jakarta, Indonesia",-6.2087634,106.845599,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Baghdad,Iraq,Iraq,"Baghdad, Iraq",33.325,44.422,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Dublin,Ireland,Ireland,"Dublin, Ireland",53.3498053,-6.2603097,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Jerusalem,Israel,Israel,"Jerusalem, Israel",31.768319,35.21371,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Rome,Italy,Italy,"Rome, Italy",41.8723889,12.4801802,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Kingston,Jamaica,Jamaica,"Kingston, Jamaica",17.983333,-76.8,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Tokyo,Japan,Japan,"Tokyo, Japan",35.6894875,139.6917064,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Amman,Jordan,Jordan,"Amman, Jordan",31.9565783,35.9456951,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Astana,Kazakhstan,Kazakhstan,"Astana 020000, Kazakhstan",51.180556,71.461111,1000000.0,1000000.0
