Day,Month,Year,gglCountry,gglAddress,Type,SubType,TotAffected,DisasterID
17,2,1991,Mississippi,Jackson,Flood,SEVERE STORMS & FLOODING,771497.0,1991-1036
20,12,1990,Washington,Olympia,Flood,SEVERE STORMS & HIGH TIDES,1748380.0,1990-1037
1,3,1991,Georgia,Atlanta,Flood,SEVERE STORMS & FLOODING,2518790.0,1991-1038
12,3,1991,Indiana,Indianapolis,Severe Ice Storm,SEVERE ICE STORM,1685789.0,1991-1039
12,4,1991,Louisiana,Baton Rouge,Flood,SEVERE STORMS & FLOODING,1178677.0,1991-1040
5,4,1991,Texas,Austin,Severe Storm(s),"SEVERE STORMS, TORNADOES & FLOODING",6537846.0,1991-1041
26,4,1991,Kansas,Topeka,Tornado,SEVERE STORMS & TORNADOES,741811.0,1991-1042
27,4,1991,Louisiana,Baton Rouge,Severe Storm(s),"SEVERE STORMS, TORNADOES & FLOODING",1178677.0,1991-1043
26,4,1991,Mississippi,Jackson,Severe Storm(s),"SEVERE STORMS, TORNADOES & FLOODING",771497.0,1991-1044
26,4,1991,Oklahoma,Oklahoma City,Tornado,SEVERE STORMS & TORNADOES,975351.0,1991-1045
12,4,1991,Arkansas,Little Rock,Flood,SEVERE STORMS & FLOODING,758139.0,1991-1046
10,5,1991,Nebraska,Lincoln,Flood,SEVERE STORMS & FLOODING,474849.0,1991-1047
1,6,1991,Iowa,Des Moines,Flood,SEVERE STORMS & FLOODING,792052.0,1991-1048
24,5,1991,Tennessee,Nashville,Flood,SEVERE STORMS & FLOODING,1649987.0,1991-1049
7,7,1991,Wisconsin,Madison,Severe Storm(s),SEVERE STORMS & HAIL,1478616.0,1991-1050
19,8,1991,Massachusetts,Boston,Hurricane,HURRICANE BOB,1702384.0,1991-1051
19,8,1991,Rhode Island,Providence,Hurricane,HURRICANE BOB,273667.0,1991-1052
18,8,1991,Maine,Augusta,Hurricane,HURRICANE BOB & FLOODING,345374.0,1991-1053
19,8,1991,Connecticut,Hartford,Hurricane,HURRICANE BOB,929265.0,1991-1054
18,8,1991,New Hampshire,Concord,Hurricane,HURRICANE BOB & SEVERE STORMS,342282.0,1991-1055
30,10,1991,Massachusetts,Boston,Coastal Storm,COASTAL STORM,1702384.0,1991-1056
30,10,1991,Maine,Augusta,Coastal Storm,COASTAL STORM,345374.0,1991-1057
31,10,1991,Iowa,Des Moines,Severe Ice Storm,ICE STORM,792052.0,1991-1058
16,10,1991,Washington,Olympia,Fire,FIRES,1748380.0,1991-1059
20,10,1991,California,Sacramento,Fire,OAKLAND HILLS FIRE,9686029.0,1991-1060
19,8,1991,New York,Albany,Hurricane,HURRICANE BOB,5038307.0,1991-1061
30,10,1991,New Hampshire,Concord,Coastal Storm,COASTAL STORM,342282.0,1991-1062
31,10,1991,Minnesota,Saint Paul,Severe Ice Storm,ICE STORM,1379021.0,1991-1063
20,12,1991,Texas,Austin,Flood,SEVERE THUNDERSTORMS,6537846.0,1991-1064
10,2,1992,California,Sacramento,Flood,"RAIN/SNOW/WIND STORMS, FLOODING, MUDSLIDES",9686029.0,1992-1065
4,3,1992,Texas,Austin,Flood,SEVERE STORMS & FLOODING,6537846.0,1992-1066
10,3,1992,Maine,Augusta,Flood,"HEAVY RAINS, ICE JAMS & FLOODING",345374.0,1992-1067
11,3,1992,Vermont,Montpelier,Flood,"HEAVY RAINS, ICE JAMS & FLOODING",162693.0,1992-1068
4,1,1992,New Jersey,Trenton,Severe Storm(s),SEVERE COASTAL STORM,2285892.0,1992-1069
4,1,1992,Delaware,Dover,Flood,SEVERE COASTAL STORM,233463.0,1992-1070
9,3,1992,Mississippi,Jackson,Tornado,SEVERE STORMS & TORNADOES,771497.0,1992-1071
14,4,1992,Illinois,Springfield,Flood,FLOODING,3335964.0,1992-1072
29,4,1992,California,Sacramento,Fire,FIRE DURING A PERIOD OF CIVIL UNREST,9686029.0,1992-1073
21,4,1992,Virginia,Richmond,Flood,SEVERE STORMS & FLOODING,2080266.0,1992-1074
25,4,1992,California,Sacramento,Earthquake,EARTHQUAKE & AFTERSHOCKS,9686029.0,1992-1075
16,6,1992,Minnesota,Saint Paul,Severe Storm(s),"SEVERE STORMS, TORNADOES & FLOODING",1379021.0,1992-1076
27,6,1992,Texas,Austin,Tornado,SEVERE STORMS & TORNADOES,6537846.0,1992-1077
14,6,1992,Arkansas,Little Rock,Severe Storm(s),SEVERE THUNDERSTORMS,758139.0,1992-1078
12,7,1992,Ohio,Columbus,Severe Storm(s),"SEVERE STORMS, TORNADOES & FLOODING",2999491.0,1992-1079
13,6,1992,South Dakota,Pierre,Severe Storm(s),"SEVERE STORMS, TORNADOES & FLOODING",211687.0,1992-1080
28,6,1992,California,Sacramento,Earthquake,EARTHQUAKE & AFTERSHOCKS,9686029.0,1992-1081
22,5,1992,New Mexico,Santa Fe,Flood,"THUNDERSTORMS, HAIL & FLOODING",535387.0,1992-1082
11,7,1992,Nebraska,Lincoln,Flood,SEVERE STORMS & FLOODING,474849.0,1992-1083
8,8,1992,Indiana,Indianapolis,Flood,SEVERE STORMS & FLASH FLOODING,1685789.0,1992-1084
23,6,1992,Florida,Tallahassee,Flood,SEVERE STORMS & FLOODING,4888341.0,1992-1085
24,8,1992,Florida,Tallahassee,Hurricane,HURRICANE ANDREW,4888341.0,1992-1086
25,8,1992,Louisiana,Baton Rouge,Hurricane,HURRICANE ANDREW,1178677.0,1992-1087
16,8,1992,California,Sacramento,Fire,OLD GULCH & FOUNTAIN FIRES,9686029.0,1992-1088
1,5,1992,Texas,Austin,Severe Storm(s),EXCESSIVE RAIN & HAIL,6537846.0,1992-1089
29,8,1992,Wisconsin,Madison,Tornado,SEVERE STORMS & TORNADOES,1478616.0,1992-1090
16,6,1992,Indiana,Indianapolis,Severe Storm(s),"SEVERE STORMS, TORNADOES & FLOODING",1685789.0,1992-1091
14,9,1992,Wisconsin,Madison,Flood,SEVERE STORMS & FLOODING,1478616.0,1992-1092
3,10,1992,Florida,Tallahassee,Severe Storm(s),"SEVERE STORMS, TORNADOES & FLOODING",4888341.0,1992-1093
21,11,1992,Mississippi,Jackson,Tornado,"SEVERE STORMS, HIGH WINDS & TORNADOES",771497.0,1992-1094
14,9,1992,Iowa,Des Moines,Flood,SEVERE STORMS & FLOODING,792052.0,1992-1095
22,11,1992,Georgia,Atlanta,Tornado,"HIGH WINDS, HEAVY RAINS & TORNADOES",2518790.0,1992-1096
17,6,1992,Wisconsin,Madison,Tornado,SEVERE STORMS & TORNADOES,1478616.0,1992-1097
10,10,1992,Mississippi,Jackson,Tornado,"WIND STORMS, TORNADOES & HAIL",771497.0,1992-1098
21,11,1992,Texas,Austin,Tornado,SEVERE THUNDERSTORMS & TORNADOES,6537846.0,1992-1099
10,12,1992,Connecticut,Hartford,Flood,WINTER STORM & COASTAL FLOODING,929265.0,1992-1100
10,12,1992,New Jersey,Trenton,Flood,"COASTAL STORM, HIGH TIDES, HEAVY RAIN, & FLOODING",2285892.0,1992-1101
10,12,1992,New York,Albany,Flood,"COASTAL STORM, HIGH TIDES, HEAVY RAIN, & FLOODING",5038307.0,1992-1102
11,12,1992,Massachusetts,Boston,Coastal Storm,WINTER COASTAL STORM,1702384.0,1992-1103
20,1,1993,Louisiana,Baton Rouge,Flood,SEVERE STORMS & FLOODING,1178677.0,1993-1104
5,1,1993,Arizona,Phoenix,Flood,"SEVERE STORMS, TORNADOES & FLOODING",1661924.0,1993-1105
5,1,1993,California,Sacramento,Flood,"SEVERE WINTER STORM, MUD & LAND SLIDES, & FLOODING",9686029.0,1993-1106
11,12,1992,Delaware,Dover,Coastal Storm,SEVERE COASTAL STORM & FLOODING,233463.0,1992-1107
21,2,1993,Georgia,Atlanta,Tornado,"TORNADOES, HIGH WINDS & HEAVY RAINS",2518790.0,1993-1108
20,1,1993,Washington,Olympia,Severe Storm(s),SEVERE STORMS & HIGH WIND,1748380.0,1993-1109
12,3,1993,Florida,Tallahassee,Tornado,"TORNADOES, FLOODING, HIGH WINDS & TIDES, FREEZING",4888341.0,1993-1110
7,3,1993,Nebraska,Lincoln,Flood,ICE JAMS & FLOODING,474849.0,1993-1111
25,3,1993,Oregon,Salem,Earthquake,EARTHQUAKE,996079.0,1993-1112
26,3,1993,Iowa,Des Moines,Flood,SEVERE STORMS & FLOODING,792052.0,1993-1113
24,4,1993,Oklahoma,Oklahoma City,Tornado,SEVERE STORMS & TORNADOES,975351.0,1993-1114
9,4,1993,Maine,Augusta,Flood,"HEAVY RAIN, SNOWMELT, ICE JAMS & FLOODING",345374.0,1993-1115
15,4,1993,Missouri,Jefferson City,Flood,SEVERE STORMS & FLOODING,1557121.0,1993-1116
8,5,1993,Oklahoma,Oklahoma City,Severe Storm(s),"SEVERE STORMS, TORNADOES & FLOODING",975351.0,1993-1117
24,4,1993,Vermont,Montpelier,Flood,"HEAVY RAIN, SNOWMELT & FLOODING",162693.0,1993-1118
5,1,1993,New Mexico,Santa Fe,Flood,SEVERE STORMS & FLOODING,535387.0,1993-1119
6,5,1993,Minnesota,Saint Paul,Severe Storm(s),"SEVERE STORMS, TORNADOES & FLOODING",1379021.0,1993-1120
7,6,1993,Wisconsin,Madison,Severe Storm(s),"SEVERE STORMS, TORNADOES & FLOODING",1478616.0,1993-1121
10,6,1993,Missouri,Jefferson City,Flood,SEVERE STORMS & FLOODING,1557121.0,1993-1122
13,4,1993,Iowa,Des Moines,Flood,SEVERE STORMS & FLOODING,792052.0,1993-1123
13,4,1993,Illinois,Springfield,Flood,SEVERE STORMS & FLOODING,3335964.0,1993-1124
23,6,1993,Nebraska,Lincoln,Flood,SEVERE STORMS AND FLOODING,474849.0,1993-1125
6,5,1993,South Dakota,Pierre,Severe Storm(s),"SEVERE STORMS, TORNADOES & FLOODING",211687.0,1993-1126
28,6,1993,Kansas,Topeka,Flood,SEVERE STORMS & FLOODING,741811.0,1993-1127
22,6,1993,North Dakota,Bismarck,Flood,SEVERE STORMS & FLOODING,174874.0,1993-1128
13,11,1993,Missouri,Jefferson City,Severe Storm(s),"SEVERE STORMS, TORNADOES, AND FLOODING",1557121.0,1993-1129
26,10,1993,California,Sacramento,Fire,"FIRES, MUD/LANDSLIDES, FLOODING, SOIL EROSION",9686029.0,1993-1130
16,8,1993,Indiana,Indianapolis,Severe Storm(s),SEVERE STORMS AND FLOODING,1685789.0,1993-1131
20,9,1993,Oregon,Salem,Earthquake,EARTHQUAKES,996079.0,1993-1132
31,8,1993,North Carolina,Raleigh,Hurricane,HURRICANE EMILY,2479226.0,1993-1133
17,1,1994,California,Sacramento,Earthquake, NORTHRIDGE EARTHQUAKE,9686029.0,1994-1134
9,2,1994,Mississippi,Jackson,Severe Storm(s),"SEVERE WINTER STORM, FREEEZING RAIN AND SLEET",771497.0,1994-1135
6,8,1993,Virginia,Richmond,Severe Storm(s),SEVERE STORMS AND TORNADOES,2080266.0,1993-1136
9,2,1994,Tennessee,Nashville,Severe Storm(s),"SEVERE WINTER ICE STORM,FLASH FLOODING",1649987.0,1994-1137
16,1,1994,Alabama,Montgomery,Severe Storm(s),"SEVERE WINTER STORMS, FREEZING, FLOODING",1242731.0,1994-1138
10,2,1994,Louisiana,Baton Rouge,Severe Storm(s),SEVERE WINTER ICE STORM,1178677.0,1994-1139
4,1,1994,Pennsylvania,Harrisburg,Severe Storm(s),SEVERE WINTER STORMS,3302619.0,1994-1140
8,2,1994,Delaware,Dover,Severe Storm(s),SEVERE ICE STORMS AND FLOODING,233463.0,1994-1141
27,3,1994,Georgia,Atlanta,Tornado,"TORNADOES, FLOODING, AND SEVERE STORMS",2518790.0,1994-1142
27,3,1994,Alabama,Montgomery,Severe Storm(s),"SEVERE STORMS, TORNADO, AND FLOODING",1242731.0,1994-1143
1,3,1994,Virginia,Richmond,Severe Storm(s),SEVERE WINTER ICE STORM,2080266.0,1994-1144
25,3,1994,Tennessee,Nashville,Flood,EXTENSIVE RAINFALL AND FLASH FLOODING,1649987.0,1994-1145
9,4,1994,Missouri,Jefferson City,Severe Storm(s),"SEVERE STORMS, TORNADOES, FLOODING",1557121.0,1994-1146
9,4,1994,Illinois,Springfield,Severe Storm(s),SEVERE STORMS AND FLOODING,3335964.0,1994-1147
11,4,1994,Oklahoma,Oklahoma City,Severe Storm(s),SEVERE STORMS AND FLOODING,975351.0,1994-1148
25,4,1994,Texas,Austin,Severe Storm(s),SEVERE STORMS AND TORNADOES,6537846.0,1994-1149
10,1,1994,Michigan,Lansing,Freezing,SEVERE DEEP FREEZE,2569746.0,1994-1150
1,3,1994,South Dakota,Pierre,Severe Storm(s),SEVERE STORMS AND FLOODING,211687.0,1994-1151
15,4,1994,Maine,Augusta,Flood,FLOODING AND ICE JAMS,345374.0,1994-1152
5,3,1994,North Dakota,Bismarck,Severe Storm(s),"SEVERE STORMS, FLOODING",174874.0,1994-1153
3,7,1994,Georgia,Atlanta,Tornado,"TORNADOES, FLOODING TORRENTIAL RAIN(TROP STORM ALBERTO)",2518790.0,1994-1154
2,7,1994,Alabama,Montgomery,Severe Storm(s),SEVERE STORMS AND FLOODING (TROPICAL STORM ALBERTO),1242731.0,1994-1155
2,7,1994,Florida,Tallahassee,Severe Storm(s),SEVERE STORMS AND FLOODING (TROPICAL STORM ALBERTO),4888341.0,1994-1156
14,10,1994,Texas,Austin,Flood,SEVERE THUNDERSTORMS AND FLOODING,6537846.0,1994-1157
8,8,1994,Alaska,Juneau,Severe Storm(s),SEVERE STORMS AND FLOODING,184660.0,1994-1158
1,10,1994,Georgia,Atlanta,Severe Storm(s),"HEAVY RAINS, TORNADOS, FLOODING, HIGH WINDS",2518790.0,1994-1159
14,11,1994,Florida,Tallahassee,Severe Storm(s),TROPICAL STORM GORDON TORNADOES FLOODING RAINFALL,4888341.0,1994-1160
3,1,1995,California,Sacramento,Severe Storm(s),"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, MUD FLOWS",9686029.0,1995-1161
13,2,1995,California,Sacramento,Severe Storm(s),"SEVERE WINTER STORMS, FLOODING LANDSLIDES, MUD FLOW",9686029.0,1995-1162
15,2,1995,Alabama,Montgomery,Severe Storm(s),"SEVERE STORMS, FLOODING AND TORNADOES",1242731.0,1995-1163
8,5,1995,Louisiana,Baton Rouge,Severe Storm(s),SEVERE STORMS AND FLOODING,1178677.0,1995-1164
1,3,1995,North Dakota,Bismarck,Severe Storm(s),"SEVERE STORMS, FLOODING, AND GROUND SATURATION",174874.0,1995-1165
1,3,1995,South Dakota,Pierre,Flood,FLOODING,211687.0,1995-1166
8,5,1995,Mississippi,Jackson,Severe Storm(s),"SEVERE STORMS, TORNADOES, FLOODING",771497.0,1995-1167
15,5,1995,Illinois,Springfield,Severe Storm(s),SEVERE STORMS AND FLOODING,3335964.0,1995-1168
13,5,1995,Missouri,Jefferson City,Severe Storm(s),"SEVERE STORMS, TORNADOES, HAIL, FLOODING",1557121.0,1995-1169
13,5,1995,Kentucky,Frankfort,Tornado,"TORNADOES, SEVERE WINDS, HAIL",1128235.0,1995-1170
26,5,1995,Oklahoma,Oklahoma City,Tornado,"TORNADOES, SEVERE STORMS AND FLOODING",975351.0,1995-1171
14,5,1995,Tennessee,Nashville,Tornado,TORNADOES,1649987.0,1995-1172
28,5,1995,Texas,Austin,Severe Storm(s),"SEVERE STORMS, HAIL, FLOODING, AND TORNADOES",6537846.0,1995-1173
22,6,1995,Virginia,Richmond,Severe Storm(s),SEVERE STORMS AND FLOODING,2080266.0,1995-1174
2,8,1995,Florida,Tallahassee,Hurricane,HURRICANE ERIN,4888341.0,1995-1175
7,8,1995,Ohio,Columbus,Severe Storm(s),SEVERE STORMS AND FLOODING,2999491.0,1995-1176
9,7,1995,Minnesota,Saint Paul,Severe Storm(s),"SEVERE THUNDERSTORMS, WINDS, FLOODING, TORNADOES, AND HEAT",1379021.0,1995-1177
23,6,1995,West Virginia,Charleston,Severe Storm(s),"SEVERE STORMS, HEAVY RAINS, FLOODING, MUDSLIDES",481778.0,1995-1178
4,8,1995,Vermont,Montpelier,Severe Storm(s),"EXCESSIVE RAINFALL, FLOODING",162693.0,1995-1179
21,7,1995,Oklahoma,Oklahoma City,Severe Storm(s),SEVERE STORMS AND FLOODING,975351.0,1995-1180
8,7,1995,Oregon,Salem,Flood,FLOODING,996079.0,1995-1181
4,10,1995,Florida,Tallahassee,Hurricane,HURRICANE OPAL,4888341.0,1995-1182
4,10,1995,Alabama,Montgomery,Hurricane,HURRICANE OPAL,1242731.0,1995-1183
4,10,1995,Georgia,Atlanta,Hurricane,HURRICANE OPAL,2518790.0,1995-1184
4,10,1995,North Carolina,Raleigh,Flood,"SEVERE STORMS, FLOODING, HIGH WINDS",2479226.0,1995-1185
13,10,1995,Florida,Tallahassee,Flood,SEVERE FLOODING,4888341.0,1995-1186
18,9,1995,Alaska,Juneau,Flood,FLOODING,184660.0,1995-1187
20,10,1995,New Hampshire,Concord,Flood,"EXCESSIVE RAINFALL, HIGH WINDS, AND FLOODING",342282.0,1995-1188
7,11,1995,Washington,Olympia,Severe Storm(s),"SEVERE STORMS, HIGH WIND, AND FLOODING",1748380.0,1995-1189
7,11,1995,Georgia,Atlanta,Severe Storm(s),SEVERE STORMS AND TORNADOES,2518790.0,1995-1190
19,1,1996,Pennsylvania,Harrisburg,Flood,SEVERE STORMS AND FLOODING,3302619.0,1996-1191
19,1,1996,Maryland,Annapolis,Flood,SEVERE STORMS AND FLOODING,1501124.0,1996-1192
19,1,1996,New York,Albany,Flood,SEVERE STORMS AND FLOODING,5038307.0,1996-1193
19,1,1996,West Virginia,Charleston,Flood,FLOODING,481778.0,1996-1194
20,1,1996,Ohio,Columbus,Flood,SEVERE STORMS AND FLOODING,2999491.0,1996-1195
19,1,1996,Virginia,Richmond,Flood,"FLOODING, HIGH WINDS, AND WIND DRIVEN RAIN",2080266.0,1996-1196
4,2,1996,Oregon,Salem,Flood,"HIGH WINDS, SEVERE  STORMS AND FLOODING",996079.0,1996-1197
26,1,1996,Washington,Olympia,Flood,"HIGH WINDS, SEVERE STORMS AND FLOODING",1748380.0,1996-1198
19,1,1996,Vermont,Montpelier,Flood,ICE JAMS AND FLOODING,162693.0,1996-1199
6,2,1996,Idaho,Boise,Severe Storm(s),SEVERE STORMS AND FLOODING,407571.0,1996-1200
1,2,1996,Alabama,Montgomery,Severe Storm(s),"SEVERE WINTER STORMS, ICE AND FLOODING",1242731.0,1996-1201
4,2,1996,Montana,Helena,Severe Storm(s),"SEVERE STORMS, FLOODING, AND ICE JAMS",257248.0,1996-1202
19,1,1996,Maine,Augusta,Severe Storm(s),"SEVERE STORMS, ICE JAMS, FLOODING",345374.0,1996-1203
10,12,1996,Oregon,Salem,Severe Storm(s),SEVERE STORMS  AND HIGH WINDS,996079.0,1996-1204
5,3,1996,Alabama,Montgomery,Severe Storm(s),"SEVERE STORMS, FLOODING AND TORNADOES",1242731.0,1996-1205
6,1,1996,Indiana,Indianapolis,Flood,BLIZZARD OF 96,1685789.0,1996-1206
18,4,1996,Arkansas,Little Rock,Severe Storm(s),SEVERE STORMS AND TORNADOES,758139.0,1996-1207
18,4,1996,Illinois,Springfield,Severe Storm(s),SEVERE STORMS AND TORNADOES,3335964.0,1996-1208
21,4,1996,Arkansas,Little Rock,Severe Storm(s),SEVERE STORMS AND TORNADOES,758139.0,1996-1209
28,4,1996,Illinois,Springfield,Severe Storm(s),SEVERE STORMS AND FLOODING,3335964.0,1996-1210
16,4,1996,Maine,Augusta,Severe Storm(s),"SEVERE STORMS, MUDSLIDES, FLOODING",345374.0,1996-1211
15,5,1996,West Virginia,Charleston,Flood,"FLOODING, HEAVY WINDS",481778.0,1996-1212
14,3,1996,Minnesota,Saint Paul,Flood,FLOODING AND SEVERE STORMS,1379021.0,1996-1213
1,3,1996,Montana,Helena,Severe Storm(s),"SEVERE STORMS, FLOODING, ICE JAMS, SOIL SATURATION",257248.0,1996-1214
12,3,1996,North Dakota,Bismarck,Severe Storm(s),"SEVERE STORMS,FLOODING, &  ICE JAMS",174874.0,1996-1215
28,5,1996,Kentucky,Frankfort,Severe Storm(s),"SEVERE STORMS, FLOODING AND TORNADOES",1128235.0,1996-1216
12,6,1996,Pennsylvania,Harrisburg,Flood,"FLOODING, SEVERE STORMS",3302619.0,1996-1217
8,5,1996,Iowa,Des Moines,Severe Storm(s),SEVERE STORMS AND FLOODING,792052.0,1996-1218
2,5,1996,Ohio,Columbus,Flood,FLOODING,2999491.0,1996-1219
2,6,1996,Alaska,Juneau,Fire,WILDLAND FIRES,184660.0,1996-1220
8,5,1996,Nebraska,Lincoln,Severe Storm(s),SEVERE STORMS AND TORNADOES,474849.0,1996-1221
28,4,1996,Indiana,Indianapolis,Severe Storm(s),SEVERE STORMS AND FLOODING,1685789.0,1996-1222
12,6,1996,Vermont,Montpelier,Flood,EXTREME RAINFALL AND FLOODING,162693.0,1996-1223
10,7,1996,North Carolina,Raleigh,Hurricane,HURRICANE BERTHA,2479226.0,1996-1224
17,7,1996,Illinois,Springfield,Severe Storm(s),SEVERE STORMS AND FLOODING,3335964.0,1996-1225
21,6,1996,Michigan,Lansing,Severe Storm(s),SEVERE STORMS AND FLOODING,2569746.0,1996-1226
19,7,1996,Pennsylvania,Harrisburg,Flood,"SEVERE STORMS, FLOODING, AND TORNADOES",3302619.0,1996-1227
18,7,1996,West Virginia,Charleston,Fire,"HEAVY RAINS, HIGH WINDS, FLOODING, AND SLIDES",481778.0,1996-1228
15,6,1996,Iowa,Des Moines,Severe Storm(s),"SEVERE STORMS, AND FLOODING",792052.0,1996-1229
17,7,1996,Wisconsin,Madison,Flood,"SEVERE STORMS, FLOODING AND TORNADOES",1478616.0,1996-1230
5,9,1996,North Carolina,Raleigh,Hurricane,HURRICANE FRAN,2479226.0,1996-1231
5,9,1996,Virginia,Richmond,Hurricane,HURRICANE FRAN AND ASSOCIATED SEVERE STORM COND,2080266.0,1996-1232
5,9,1996,West Virginia,Charleston,Severe Storm(s),"HURRICANE FRAN AND ASSOCIATED HEAVY RAINS,FLOODING HIGHWIND",481778.0,1996-1233
6,9,1996,Pennsylvania,Harrisburg,Flood,FLOODING ASSOCIATED WITH TROPICAL DEPRESSION FRAN,3302619.0,1996-1234
5,9,1996,South Carolina,Columbia,Flood,SEVERE WINDS AND FLOODING ASSOC WITH HURRICANE FRAN,1202595.0,1996-1235
7,10,1996,Florida,Tallahassee,Severe Storm(s),TROPICAL STORM JOSEPHINE,4888341.0,1996-1236
20,10,1996,Massachusetts,Boston,Flood,EXTREME WEATHER CONDITONS AND FLOODING,1702384.0,1996-1237
20,10,1996,New Hampshire,Concord,Flood,FALL NORTHEASTER RAINSTORM,342282.0,1996-1238
8,11,1996,New York,Albany,Severe Storm(s),"SEVERE STORMS HIGH WINDS, RAIN AND FLOODING",5038307.0,1996-1239
6,9,1996,Maryland,Annapolis,Hurricane,SEVERE STORMS AND FLOODING ASSOC WITH TROPICAL STORM FRAN,1501124.0,1996-1240
18,10,1996,New Jersey,Trenton,Severe Storm(s),SEVERE STORMS AND FLOODING,2285892.0,1996-1241
19,10,1996,New York,Albany,Severe Storm(s),"SEVERE STORMS, FLOODING, HEAVY RAINS, HIGH WINDS",5038307.0,1996-1242
20,10,1996,Maine,Augusta,Flood,SEVERE STORMS AND FLOODING,345374.0,1996-1243
14,11,1996,Minnesota,Saint Paul,Severe Storm(s),SEVERE ICE STORM,1379021.0,1996-1244
8,11,1996,Pennsylvania,Harrisburg,Flood,"SEVERE THUNDERSTORMS, HIGH WINDS,RAIN, FLOODING",3302619.0,1996-1245
17,11,1996,Oregon,Salem,Flood,"FLOODING, LAND, MUD SLIDES, HIGH WINDS,SEVERE STORMS",996079.0,1996-1246
19,11,1996,Washington,Olympia,Severe Ice Storm,SEVERE ICE STORM,1748380.0,1996-1247
20,12,1996,Nevada,Carson City,Severe Storm(s),"SEVERE STORMS, FLOODING, MUD AND LANDSLIDES",702143.0,1996-1248
